GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
handistCollections,handist.collections.glb,CustomOneSidedMoveManager,3,160,0,6,1,40,1,9,1,6
handistCollections,handist.collections.glb,Config.LifelineAnswerMode,0,24,0,0,0,2,0,1,0,1
handistCollections,handist.collections.glb,GlbOperation.State,0,34,0,0,0,4,0,1,0,1
handistCollections,handist.collections.glb,DistColGlb,71,504,1,15,11,107,1,31,0,24
handistCollections,handist.collections.glb,TimeoutBlocker,8,62,2,8,3,15,3,8,1,5
handistCollections,handist.collections.glb,GlbOperation,25,291,5,19,8,69,5,25,0,18
handistCollections,handist.collections.glb,GlbComputer.WorkReserve,0,104,0,8,0,23,0,7,0,3
handistCollections,handist.collections.glb,DistColGlbTask,16,596,2,32,8,128,2,27,0,12
handistCollections,handist.collections.glb,Assignment,6,0,0,0,1,0,1,0,1,0
handistCollections,handist.collections.glb,DistColGlbTask.Progress,0,6,0,0,0,3,0,1,0,1
handistCollections,handist.collections.glb,DistMapGlb,2,6,0,0,1,3,1,1,1,1
handistCollections,handist.collections.glb,DistColGlb.DistColGlbError,0,31,0,0,0,4,0,1,0,1
handistCollections,handist.collections.glb,GlbComputer,190,697,12,54,25,152,12,41,0,20
handistCollections,handist.collections.glb,GlbComputer.LifelineToken,17,9,0,0,1,4,1,1,1,1
handistCollections,handist.collections.glb,GlbComputer.WorkerInfo,0,50,0,0,0,12,0,5,0,5
handistCollections,handist.collections.glb,GlbOperation.OperationCompletionManagedBlocker,1,24,1,1,1,11,1,4,0,4
handistCollections,handist.collections.glb,OperationBlocker,10,39,1,1,1,13,1,5,0,5
handistCollections,handist.collections.glb,DistFuture,0,57,1,5,0,18,1,9,0,7
handistCollections,handist.collections.glb,AbstractGlbHandle,4,14,0,2,2,5,1,3,1,2
handistCollections,handist.collections.glb,DistColGlbTask.DistColAssignment,23,310,4,20,5,62,6,15,2,7
handistCollections,handist.collections.glb,GlobalLoadBalancer,10,151,1,11,4,52,2,16,1,11
handistCollections,handist.collections.glb,Config,44,41,0,6,6,12,2,8,2,5
handistCollections,handist.collections.dist.util,ObjectOutput,8,109,1,1,3,34,2,11,1,11
handistCollections,handist.collections.dist.util,Pair,34,15,6,0,5,6,5,3,2,3
handistCollections,handist.collections.dist.util,IntFloatPair,9,0,0,0,4,0,1,0,1,0
handistCollections,handist.collections.dist.util,MemberOfLazyObjectReference,0,17,0,0,0,5,0,2,0,2
handistCollections,handist.collections.dist.util,ObjectInput,13,61,1,1,4,19,3,8,2,8
handistCollections,handist.collections.dist.util,IntLongPair,9,0,0,0,4,0,1,0,1,0
handistCollections,handist.collections.dist.util,LazyObjectReference,6,34,0,2,2,12,0,3,0,2
handistCollections,handist.collections,Bag,15,738,1,65,9,184,1,72,0,40
handistCollections,handist.collections,SquareChunk.MyView,40,3,0,0,8,1,8,1,8,1
handistCollections,handist.collections,SquareChunk,328,546,18,20,47,97,18,32,6,25
handistCollections,handist.collections,SquareRange,238,304,42,24,27,52,35,24,10,16
handistCollections,handist.collections,ColumnIterator,48,53,2,2,14,11,4,3,2,3
handistCollections,handist.collections,RangedList.Box,0,6,0,0,0,3,0,1,0,1
handistCollections,handist.collections,ChunkedList.LongRangeOrdering,0,22,0,2,0,3,0,3,0,2
handistCollections,handist.collections,LazyRangedList,73,34,0,0,13,6,13,3,13,3
handistCollections,handist.collections,FutureN.ListResults,67,0,4,0,19,0,6,0,4,0
handistCollections,handist.collections,ChunkListIterator,63,172,2,10,10,35,4,15,2,11
handistCollections,handist.collections,SquareChunk.MySquareSiblingAccessor,17,47,7,7,2,9,8,3,1,3
handistCollections,handist.collections,Bag.It,0,65,0,10,0,17,0,8,0,3
handistCollections,handist.collections,SquareChunk.RowView,116,86,4,2,15,15,8,6,6,5
handistCollections,handist.collections,Bag.new Consumer() {...},0,15,0,0,0,3,0,2,0,2
handistCollections,handist.collections,ChunkedList.It,0,83,0,10,0,26,0,8,0,3
handistCollections,handist.collections,ChunkedList.UnmodifiableView,302,0,0,0,76,0,56,0,56,0
handistCollections,handist.collections,FutureN.ReturnGivenResult,7,12,0,0,2,5,1,2,1,2
handistCollections,handist.collections,ParallelExecutionException,64,9,4,0,19,4,8,1,6,1
handistCollections,handist.collections,SquareRangedListAbstract,54,71,5,3,9,15,4,6,1,5
handistCollections,handist.collections,RangedList,24,619,4,46,5,140,5,58,2,36
handistCollections,handist.collections,FutureN.OnlyWait,14,0,0,0,6,0,3,0,3,0
